id,desc,memo,ship_skin_id,draw_able_name,parameter,mode,start_value,range,parts_data,ignore_react,react_condition,ignore_action,range_abs,drag_direct,react_pos_x,react_pos_y,offset_circle,offset_x,offset_y,smooth,revert_smooth,revert,save_parameter,revert_action_index,revert_idle_index,gyro,gyro_x,gyro_y,gyro_z,limit_time,listener_data,action_trigger,action_trigger_active,shop_action,relation_parameter
40407108,准星XY组合拖拽,zengkehaijunshangjiang_2,404071,TouchDrag16,,2,0,"{0,1}",,1,,1,0,0,,,,85,100,100,100,-1,,,,0,0,0,0,,,,,0,"{list={{name='touch_drag5',type=101},{name='touch_drag6',type=102}}}"
40407109,,zengkehaijunshangjiang_2,404071,,,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,,,,
40407110,对应7115的参数监听器,zengkehaijunshangjiang_2,404071,,,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,,,,
40407111,,zengkehaijunshangjiang_2,404071,TouchDrag3,touch_drag3,1,0,"{0,1}",,1,,1,1,0,,,,0,0,150,150,-1,,,,0,0,0,0,1,,"{type = 2,target = 1,circle = true}",,,
40407112,,zengkehaijunshangjiang_2,404071,TouchDrag4,touch_drag4,1,0,"{0,1}",,1,,1,1,0,,,,0,0,150,150,-1,,,,0,0,0,0,1,,"{type = 2,target = 1,circle = true}",,,
40407113,,zengkehaijunshangjiang_2,404071,TouchDrag9,touch_drag9,1,0,"{0,1}",,1,,1,1,1,,,,-250,0,100,100,-1,,,,0,0,0,0,1,,,,,
40407114,,zengkehaijunshangjiang_2,404071,TouchDrag10,touch_drag10,1,0,"{0,1}",,1,,1,1,1,,,,0,-250,100,100,-1,,,,0,0,0,0,1,,,,,
40407115,,zengkehaijunshangjiang_2,404071,TouchDrag20,touch_drag20,1,0,"{0,10}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2,target = 10,circle = true}",,,
40407116,,zengkehaijunshangjiang_2,404071,TouchIdle,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle'}","{enable = {},ignore = {},idle = 0}",,
40407117,,zengkehaijunshangjiang_2,404071,TouchIdle2,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle2'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 2}",,
40407118,,zengkehaijunshangjiang_2,404071,TouchIdle3,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle3'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 3}",,
40407119,,zengkehaijunshangjiang_2,404071,TouchIdle4,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle4'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle15','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 4}",,
40407120,,zengkehaijunshangjiang_2,404071,TouchIdle11,touch_drag21,1,0,"{0,1}",,1,,1,1,0,,,,0,0,600,100,-1,,,,0,0,0,0,1,"{type=2,change={{2,{'TouchDrag21'},0}}}","{type = 2 ,action = 'touch_idle11',target=1}",,,
40407121,,zengkehaijunshangjiang_2,404071,TouchDrag21,empty,2,0,"{0,1}",,1,,1,1,0,,,,0,0,600,100,-1,,,,0,0,0,0,1,,"{type = 2,target = 0,circle = true}",,,
40407122,,zengkehaijunshangjiang_2,404071,TouchIdle6,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle6'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 6}",,
40407123,,zengkehaijunshangjiang_2,404071,TouchIdle8,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle8'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 8}",,
40407124,,zengkehaijunshangjiang_2,404071,TouchDrag18,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_drag18'}",,,
40407125,,zengkehaijunshangjiang_2,404071,TouchDrag19,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_drag19'}",,,
40407126,右侧红色数据,zengkehaijunshangjiang_2,404071,TouchIdle5,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle5'}","{enable = {},ignore = {},idle = 0}",,
40407127,,zengkehaijunshangjiang_2,404071,TouchIdle10,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle10'}","{enable = {},ignore = {},idle = 0}",,
40407128,,zengkehaijunshangjiang_2,404071,TouchIdle7,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle7'}","{enable = {},ignore = {},idle = 0}",,
40407129,,zengkehaijunshangjiang_2,404071,TouchIdle9,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle9'}","{enable = {},ignore = {},idle = 0}",,
40407130,,zengkehaijunshangjiang_2,404071,TouchIdle13,empty,2,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle13'}","{enable = {},ignore = {},idle = 0}",,
40407131,,zengkehaijunshangjiang_2,404071,TouchIdle12,touch_idle12,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'idle',target = 0}","{enable = {},ignore = {'main_1','main_2','main_3','main_4','mission','mission_complete','complete','login','home','mail','touch_body','touch_head','touch_special','wedding','main_3'},idle = 12,idle_focus = 1}",,
40407132,,zengkehaijunshangjiang_2,404071,TouchIdle5,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle15'}","{enable = {},ignore = {},idle = 0}",,
40407133,,zengkehaijunshangjiang_2,404071,TouchIdle14,touch_idle14,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'idle',target = 0}","{enable = {},ignore = {'main_1','main_2','main_3','main_4','mission','mission_complete','complete','login','home','mail','touch_body','touch_head','touch_special','wedding','main_3'},idle = 3,idle_focus = 1}",,
40407134,,zengkehaijunshangjiang_2,404071,,ParamZZX,2,0,"{-30,30}",,0,,1,0,0,,6,,0,0,50,50,0,,,,0,0,0,0,,,,,1,
40407135,,zengkehaijunshangjiang_2,404071,,ParamZZY,2,0,"{-30,30}",,0,,1,0,0,6,,,0,0,50,50,0,,,,0,0,0,0,,,,,1,
40407136,,zengkehaijunshangjiang_2,404071,TouchIdle15,empty,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle15'}","{enable = {},ignore = {},idle = 0}",,
19903301,,ankeleiqi_4,199033,TouchIdle1,Paramtouch_idle1,1,0,"{0,10}",,1,{idle_on={0}},1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle1'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 1}",,
19903302,,ankeleiqi_4,199033,TouchIdle13,Paramtouch_idle13,1,0,"{0,10}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle13'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 13}",,
19903303,,ankeleiqi_4,199033,TouchIdle14,Paramtouch_idle14,1,0,"{0,10}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle14'}","{enable = {},ignore = {},idle = 0}",,
19903304,,ankeleiqi_4,199033,TouchIdle19,Paramtouch_idle19,1,0,"{0,10}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'idle',target = 0}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 13,idle_focus = 1}",,
19903305,,ankeleiqi_4,199033,TouchIdle20,Paramtouch_idle20,1,0,"{0,10}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'idle',target = 0}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 14,idle_focus = 1}",,
19903306,,ankeleiqi_4,199033,TouchIdle10,Paramtouch_idle10,1,0,"{0,10}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle10'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 10}",,
19903307,,ankeleiqi_4,199033,TouchIdle18,Paramtouch_idle18,1,0,"{0,10}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'idle',target = 0}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 1,idle_focus = 1}",,
19903308,,ankeleiqi_4,199033,TouchIdle11,Paramtouch_idle11,1,0,"{0,10}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'idle',target = 0}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 11,idle_focus = 1}",,
19903309,,ankeleiqi_4,199033,TouchIdle12,Paramtouch_idle12,1,0,"{0,10}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'idle',target = 0}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 12,idle_focus = 1}",,
19903310,,ankeleiqi_4,199033,TouchIdle17,Paramtouch_idle17,1,0,"{0,10}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle12'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 1}",,
19903311,,ankeleiqi_4,199033,TouchIdle2,Paramtouch_idle2,1,0,"{0,10}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'idle',target = 0}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 2,idle_focus = 1}",,
19903312,,ankeleiqi_4,199033,TouchIdle3,Paramtouch_idle3,1,0,"{0,10}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'idle',target = 0}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 3,idle_focus = 1}",,
19903313,,ankeleiqi_4,199033,TouchIdle4,Paramtouch_idle4,1,0,"{0,10}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'idle',target = 0}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 4,idle_focus = 1}",,
19903314,,ankeleiqi_4,199033,TouchIdle16,Paramtouch_idle16,1,0,"{0,10}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'idle',target = 0}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 1,idle_focus = 1}",,
19903315,,ankeleiqi_4,199033,TouchIdle5,Paramtouch_idle5,1,0,"{0,10}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1,,"{type = 2 ,action = 'touch_idle5'}","{enable = {'touch_idle1','touch_idle2','touch_idle3','touch_idle4','touch_idle5','touch_idle6','touch_idle7','touch_idle8','touch_idle9','touch_idle10','touch_idle11','touch_idle12','touch_idle13','touch_idle14','touch_idle15','touch_idle16','touch_idle17','touch_idle18','touch_idle19','touch_idle20','touch_idle21','touch_idle22','idle','idle1','idle2','idle3','idle4','idle6','idle7','idle8','idle9','idle10','idle11','idle12','idle13','idle14','idle15','idle16','idle17','idle18','touch_drag1','touch_drag2','touch_drag3','touch_drag4','touch_drag5','touch_drag6','touch_drag7','touch_drag8','touch_drag11','touch_drag12','touch_drag16','touch_drag17','touch_drag18','touch_drag19'},ignore = {},idle = 5}",,
